debate_id,betting_model,experiment_type,side,topic,opening_bet,rebuttal_bet,closing_bet
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6818,claude-3.7-sonnet,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,55.0,55,30.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_6818,claude-3.7-sonnet,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,55,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_73,claude-3.7-sonnet,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",45.0,40,30.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_73,claude-3.7-sonnet,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,55,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_73,claude-3.7-sonnet,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",25.0,30,55.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_73,claude-3.7-sonnet,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,55,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_8325,claude-3.7-sonnet,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",40.0,60,40.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_8325,claude-3.7-sonnet,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,30,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_8325,claude-3.7-sonnet,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",60.0,60,60.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_8325,claude-3.7-sonnet,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,35,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_9275,claude-3.7-sonnet,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",40.0,45,60.0
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_9275,claude-3.7-sonnet,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,45,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_9275,claude-3.7-sonnet,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",55.0,30,
multi_round_claude-3.7-sonnet_vs_claude-3.7-sonnet_9275,claude-3.7-sonnet,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,40,
multi_round_deepseek-chat_vs_deepseek-chat_6214,deepseek-chat,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",50.0,50,70.0
multi_round_deepseek-chat_vs_deepseek-chat_6214,deepseek-chat,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,60,
multi_round_deepseek-chat_vs_deepseek-chat_6214,deepseek-chat,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",60.0,50,80.0
multi_round_deepseek-chat_vs_deepseek-chat_6214,deepseek-chat,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,60,
multi_round_deepseek-chat_vs_deepseek-chat_6604,deepseek-chat,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,60.0,70,60.0
multi_round_deepseek-chat_vs_deepseek-chat_6604,deepseek-chat,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,50,
multi_round_deepseek-chat_vs_deepseek-chat_6604,deepseek-chat,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,60.0,60,60.0
multi_round_deepseek-chat_vs_deepseek-chat_6604,deepseek-chat,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,60,
multi_round_deepseek-chat_vs_deepseek-chat_6818,deepseek-chat,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,60.0,70,60.0
multi_round_deepseek-chat_vs_deepseek-chat_6818,deepseek-chat,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,70,
multi_round_deepseek-chat_vs_deepseek-chat_6818,deepseek-chat,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,60.0,60,90.0
multi_round_deepseek-chat_vs_deepseek-chat_6818,deepseek-chat,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,60,
multi_round_deepseek-chat_vs_deepseek-chat_73,deepseek-chat,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",50.0,55,70.0
multi_round_deepseek-chat_vs_deepseek-chat_73,deepseek-chat,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,60,
multi_round_deepseek-chat_vs_deepseek-chat_73,deepseek-chat,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",50.0,60,50.0
multi_round_deepseek-chat_vs_deepseek-chat_73,deepseek-chat,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,55,
multi_round_deepseek-chat_vs_deepseek-chat_8325,deepseek-chat,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",50.0,55,55.0
multi_round_deepseek-chat_vs_deepseek-chat_8325,deepseek-chat,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,55,
multi_round_deepseek-chat_vs_deepseek-chat_8325,deepseek-chat,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",60.0,60,60.0
multi_round_deepseek-chat_vs_deepseek-chat_8325,deepseek-chat,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,60,
multi_round_deepseek-chat_vs_deepseek-chat_9275,deepseek-chat,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",55.0,60,60.0
multi_round_deepseek-chat_vs_deepseek-chat_9275,deepseek-chat,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,60,
multi_round_deepseek-chat_vs_deepseek-chat_9275,deepseek-chat,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",55.0,60,60.0
multi_round_deepseek-chat_vs_deepseek-chat_9275,deepseek-chat,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,70,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6214,gemini-2.0-flash-001,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",40.0,55,30.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6214,gemini-2.0-flash-001,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,30,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6214,gemini-2.0-flash-001,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",70.0,30,30.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6214,gemini-2.0-flash-001,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,40,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6604,gemini-2.0-flash-001,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,15.0,30,60.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6604,gemini-2.0-flash-001,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,60,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6604,gemini-2.0-flash-001,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,30.0,35,60.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6604,gemini-2.0-flash-001,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,25,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6818,gemini-2.0-flash-001,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,60.0,60,60.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6818,gemini-2.0-flash-001,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,30,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6818,gemini-2.0-flash-001,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,40.0,60,75.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_6818,gemini-2.0-flash-001,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,60,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_73,gemini-2.0-flash-001,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",55.0,45,15.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_73,gemini-2.0-flash-001,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,65,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_73,gemini-2.0-flash-001,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",30.0,70,20.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_73,gemini-2.0-flash-001,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,60,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_8325,gemini-2.0-flash-001,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",60.0,40,30.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_8325,gemini-2.0-flash-001,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,65,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_8325,gemini-2.0-flash-001,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",60.0,30,60.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_8325,gemini-2.0-flash-001,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,55,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_9275,gemini-2.0-flash-001,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",55.0,60,35.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_9275,gemini-2.0-flash-001,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,40,
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_9275,gemini-2.0-flash-001,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",35.0,30,55.0
multi_round_gemini-2.0-flash-001_vs_gemini-2.0-flash-001_9275,gemini-2.0-flash-001,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,60,
multi_round_o3-mini_vs_o3-mini_6214,o3-mini,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",50.0,40,80.0
multi_round_o3-mini_vs_o3-mini_6214,o3-mini,multi_round,opposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,60,
multi_round_o3-mini_vs_o3-mini_6214,o3-mini,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",70.0,60,70.0
multi_round_o3-mini_vs_o3-mini_6214,o3-mini,multi_round,proposition,"This House would limit individual shareholding in social media platforms with over 100 million monthly active users to a maximum of 15% voting rights, requiring broader institutional and public ownership instead of allowing concentrated private control",,70,
multi_round_o3-mini_vs_o3-mini_6604,o3-mini,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,50.0,70,60.0
multi_round_o3-mini_vs_o3-mini_6604,o3-mini,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,80,
multi_round_o3-mini_vs_o3-mini_6604,o3-mini,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,50.0,80,75.0
multi_round_o3-mini_vs_o3-mini_6604,o3-mini,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,75,
multi_round_o3-mini_vs_o3-mini_6818,o3-mini,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,60.0,60,50.0
multi_round_o3-mini_vs_o3-mini_6818,o3-mini,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,90,
multi_round_o3-mini_vs_o3-mini_6818,o3-mini,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,60.0,50,75.0
multi_round_o3-mini_vs_o3-mini_6818,o3-mini,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,90,
multi_round_o3-mini_vs_o3-mini_73,o3-mini,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",40.0,80,70.0
multi_round_o3-mini_vs_o3-mini_73,o3-mini,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,70,
multi_round_o3-mini_vs_o3-mini_73,o3-mini,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",50.0,70,75.0
multi_round_o3-mini_vs_o3-mini_73,o3-mini,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,75,
multi_round_o3-mini_vs_o3-mini_8325,o3-mini,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",60.0,75,70.0
multi_round_o3-mini_vs_o3-mini_8325,o3-mini,multi_round,opposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,60,
multi_round_o3-mini_vs_o3-mini_8325,o3-mini,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",60.0,40,80.0
multi_round_o3-mini_vs_o3-mini_8325,o3-mini,multi_round,proposition,"This House would require G20 nations to participate in a unified carbon trading market with cross-border credit trading and quarterly auctions, rather than allowing each nation to implement its own domestic carbon tax system",,75,
multi_round_o3-mini_vs_o3-mini_9275,o3-mini,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",60.0,70,70.0
multi_round_o3-mini_vs_o3-mini_9275,o3-mini,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,45,
multi_round_o3-mini_vs_o3-mini_9275,o3-mini,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",35.0,70,100.0
multi_round_o3-mini_vs_o3-mini_9275,o3-mini,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,75,
multi_round_qwq-32b:free_vs_qwq-32b:free_6604,qwq-32b:free,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,60.0,30,60.0
multi_round_qwq-32b:free_vs_qwq-32b:free_6604,qwq-32b:free,multi_round,opposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,30,
multi_round_qwq-32b:free_vs_qwq-32b:free_6604,qwq-32b:free,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,40.0,40,50.0
multi_round_qwq-32b:free_vs_qwq-32b:free_6604,qwq-32b:free,multi_round,proposition,This House believes that professors should actively engage in public advocacy on social and political issues within their field of expertise,,30,
multi_round_qwq-32b:free_vs_qwq-32b:free_6818,qwq-32b:free,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,40.0,25,60.0
multi_round_qwq-32b:free_vs_qwq-32b:free_6818,qwq-32b:free,multi_round,opposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,60,
multi_round_qwq-32b:free_vs_qwq-32b:free_6818,qwq-32b:free,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,60.0,15,65.0
multi_round_qwq-32b:free_vs_qwq-32b:free_6818,qwq-32b:free,multi_round,proposition,This House believes that governments should transition their primary role in space from direct operation to regulation and oversight of private sector space activities,,30,
multi_round_qwq-32b:free_vs_qwq-32b:free_73,qwq-32b:free,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",40.0,30,70.0
multi_round_qwq-32b:free_vs_qwq-32b:free_73,qwq-32b:free,multi_round,opposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,25,
multi_round_qwq-32b:free_vs_qwq-32b:free_73,qwq-32b:free,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",20.0,25,40.0
multi_round_qwq-32b:free_vs_qwq-32b:free_73,qwq-32b:free,multi_round,proposition,"This House would require national television news broadcasters with over 5% annual viewership to provide equal prime-time coverage to parties polling above 10% and guaranteed response segments within 48 hours of criticism, rather than relying on media watchdog guidelines and voluntary fairness codes",,25,
multi_round_qwq-32b:free_vs_qwq-32b:free_9275,qwq-32b:free,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",50.0,20,60.0
multi_round_qwq-32b:free_vs_qwq-32b:free_9275,qwq-32b:free,multi_round,opposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,40,
multi_round_qwq-32b:free_vs_qwq-32b:free_9275,qwq-32b:free,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",50.0,60,60.0
multi_round_qwq-32b:free_vs_qwq-32b:free_9275,qwq-32b:free,multi_round,proposition,"This House would require US state governors to face recall elections through voter petitions (requiring 20% of registered voters within 90 days) rather than allowing removal during their term only through state legislative impeachment, with both mechanisms prohibited during the first and last 6 months of their term",,30,
